  376.503142] nos: loading out-of-tree module taints kernel.
[  376.503142] nos: module verification failed: signature and/or required key missing - tainting kernel
[  376.506385] Loaded NOS Process module!
[  376.506385] PID       PPID    PNAME           SIZE    NICE    PRIORITY        TIME    OWNER
[  376.506385] 135       2       kworker/4:1H    0       -20     100     0       0 
[  376.506385] 167       2       kworker/u12:5   0       0       120     0       0 
[  376.506385] 223       2       kworker/4:2     0       0       120     0       0 
[  376.506385] 262       2       kworker/3:1H    0       -20     100     0       0 
[  376.506385] 271       2       kworker/3:2     0       0       120     0       0 
[  376.506385] 378       2       kworker/5:3     0       0       120     0       0 
[  376.506385] 435       2       irq/18-vmwgfx   0       0       49      0       0 
[  376.506385] 436       2       card0-crtc0     0       0       49      0       0 
[  376.506385] 437       2       card0-crtc1     0       0       49      0       0 
[  376.506385] 439       2       card0-crtc2     0       0       49      0       0 
[  376.506385] 440       2       card0-crtc3     0       0       49      0       0 
[  376.506385] 441       2       card0-crtc4     0       0       49      0       0 
[  376.506385] 443       2       card0-crtc5     0       0       49      0       0 
[  376.506385] 444       2       card0-crtc6     0       0       49      0       0 
[  376.506385] 445       2       card0-crtc7     0       0       49      0       0 
[  376.506385] 458       2       kworker/0:3     0       0       120     0       0 
[  376.506385] 462       2       btrfs-worker    0       -20     100     0       0 
[  376.506385] 463       2       btrfs-worker-hi         0       -20     100     0       0 
[  376.506385] 464       2       btrfs-delalloc          0       -20     100     0       0 
[  376.506385] 465       2       btrfs-flush_del         0       -20     100     0       0 
[  376.506385] 466       2       btrfs-cache     0       -20     100     0       0 
[  376.506385] 467       2       btrfs-fixup     0       -20     100     0       0 
[  376.506385] 468       2       btrfs-endio     0       -20     100     0       0 
[  376.506385] 469       2       btrfs-endio-met         0       -20     100     0       0 
[  376.506385] 470       2       btrfs-endio-rai         0       -20     100     0       0 
[  376.506385] 471       2       btrfs-rmw       0       -20     100     0       0 
[  376.506385] 472       2       btrfs-endio-wri         0       -20     100     0       0 
[  376.506385] 473       2       btrfs-compresse         0       -20     100     0       0 
[  376.506385] 474       2       btrfs-freespace         0       -20     100     0       0 
[  376.506385] 475       2       btrfs-delayed-m         0       -20     100     0       0 
[  376.506385] 476       2       btrfs-qgroup-re         0       -20     100     0       0 
[  376.506385] 477       2       btrfs-cleaner   0       0       120     0       0 
[  376.506385] 478       2       btrfs-transacti         0       0       120     0       0 
[  376.506385] 540       2       kworker/3:4     0       0       120     0       0 
[  376.506385] 541       2       kworker/u12:6   0       0       120     0       0 
[  376.506385] 542       2       kworker/u12:7   0       0       120     0       0 
[  376.506385] 587       1       systemd-journal         28826   0       120     47000000        0 
[  376.506385] 599       1       systemd-udevd   8414    0       120     17000000        0 
[  376.506385] 600       2       kworker/u12:8   0       0       120     0       0 
[  376.506385] 689       2       jbd2/sda2-8     0       0       120     0       0 
[  376.506385] 690       2       ext4-rsv-conver         0       -20     100     0       0 
[  376.506385] 711       2       kworker/u12:9   0       0       120     0       0 
[  376.506385] 712       2       kworker/u12:10          0       0       120     0       0 
[  376.506385] 713       2       kworker/u12:11          0       0       120     0       0 
[  376.506385] 714       2       kworker/u12:12          0       0       120     0       0 
[  376.506385] 715       2       kworker/u12:13          0       0       120     0       0 
[  376.506385] 716       2       kworker/u12:14          0       0       120     0       0 
[  376.506385] 724       1       systemd-oomd    4041    0       120     136000000       999 
[  376.506385] 725       1       systemd-resolve         5669    0       120     117000000       193 
[  376.506385] 726       1       auditd          22904   -4      116     0       0 
[  376.506385] 728       1       systemd-userdbd         3965    0       120     9000000         0 
[  376.506385] 729       726     sedispatch      1517    -4      116     3000000         0 
[  376.506385] 749       2       kworker/0:4     0       0       120     0       0 
[  376.506385] 751       2       rpciod          0       -20     100     0       0 
[  376.506385] 752       2       xprtiod         0       -20     100     0       0 
[  376.506385] 754       1       avahi-daemon    1737    0       120     9000000         70 
[  376.506385] 756       1       irqbalance      19802   0       120     5000000         0 
[  376.506385] 759       1       low-memory-moni         57227   0       98      5000000         0 
[  376.506385] 763       1       polkitd         633891          0       120     130000000       998 
[  376.506385] 764       1       power-profiles-         112601          0       120     11000000        0 
[  376.506385] 770       1       rsyslogd        61297   0       120     2000000         0 
[  376.506385] 772       1       rtkit-daemon    5329    1       121     7000000         172 
[  376.506385] 773       1       accounts-daemon         131014          0       120     29000000        0 
[  376.506385] 774       1       switcheroo-cont         112061          0       120     18000000        0 
[  376.506385] 775       1       systemd-logind          6625    0       120     39000000        0 
[  376.506385] 776       1       systemd-machine         4037    0       120     21000000        0 
[  376.506385] 777       1       udisksd         98313   0       120     23000000        0 
[  376.506385] 778       1       upowerd         112165          0       120     18000000        0 
[  376.506385] 779       1       VBoxDRMClient   92746   0       120     0       0 
[  376.506385] 787       1       VBoxService     126837          0       120     1000000         0 
[  376.506385] 795       754     avahi-daemon    1704    0       120     0       70 
[  376.506385] 802       1       dbus-broker-lau         2360    0       120     16000000        81 
[  376.506385] 829       1       abrtd   116242          0       120     16000000        0 
[  376.506385] 837       802     dbus-broker     2786    0       120     154000000       81 
[  376.506385] 847       2       psimon          0       0       98      0       0 
[  376.506385] 849       1       alsactl         1136    19      139     1000000         0 
[  376.506385] 859       1       chronyd         21278   0       120     0       994 
[  376.506385] 862       1       ModemManager    97078   0       120     16000000        0 
[  376.506385] 864       1       firewalld       88622   0       120     140000000       0 
[  376.506385] 874       1       abrt-dump-journ         87591   0       120     17000000        0 
[  376.506385] 875       1       abrt-dump-journ         88605   0       120     22000000        0 
[  376.506385] 876       1       abrt-dump-journ         82836   0       120     21000000        0 
[  376.506385] 881       1       NetworkManager          117802          0       120     25000000        0 
[  376.506385] 886       1       cupsd   61755   0       120     10000000        0 
[  376.506385] 901       1       gssproxy        67683   0       120     0       0 
[  376.506385] 946       2       kworker/u13:1   0       -20     100     0       0 
[  376.506385] 947       2       kworker/u13:2   0       -20     100     0       0 
[  376.506385] 1011      1       atd     818     0       120     2000000         0 
[  376.506385] 1013      1       crond   56077   0       120     2000000         0 
[  376.506385] 1016      1       gdm     112885          0       120     9000000         0 
[  376.506385] 1064      1       uresourced      57967   0       120     4000000         0 
[  376.506385] 1172      1       wpa_supplicant          3391    0       120     0       0 
[  376.506385] 1177      1       packagekitd     319262          0       120     251000000       0 
[  376.506385] 1185      1       colord          132284          0       120     32000000        992 
[  376.506385] 1325      1       pcscd   80419   0       120     3000000         0 
[  376.506385] 1491      2       kworker/2:3     0       0       120     0       0 
[  376.506385] 1506      1016    gdm-session-wor         96587   0       120     8000000         0 
[  376.506385] 1515      1       systemd         5370    0       120     118000000       1000 
[  376.506385] 1521      1515    (sd-pam)        27579   0       120     0       1000 
[  376.506385] 1541      1       gnome-keyring-d         113647          0       120     8000000         1000 
[  376.506385] 1551      1506    gdm-x-session   93546   0       120     1000000         1000 
[  376.506385] 1555      1551    Xorg    143174          0       120     3040000000      1000 
[  376.506385] 1574      1515    dbus-broker-lau         2234    0       120     2000000         1000 
[  376.506385] 1576      1574    dbus-broker     1616    0       120     53000000        1000 
[  376.506385] 1587      1551    cinnamon-sessio         183842          0       120     83000000        1000 
[  376.506385] 1665      1515    imsettings-daem         113191          0       120     4000000         1000 
[  376.506385] 1668      1515    gvfsd   113065          0       120     3000000         1000 
[  376.506385] 1673      1515    gvfsd-fuse      94845   0       120     1000000         1000 
[  376.506385] 1811      1       VBoxClient      58195   0       120     0       1000 
[  376.506385] 1812      1811    VBoxClient      107743          0       120     0       1000 
[  376.506385] 1826      1       VBoxClient      58195   0       120     0       1000 
[  376.506385] 1827      1826    VBoxClient      107767          0       120     0       1000 
[  376.506385] 1834      1       VBoxClient      58195   0       120     0       1000 
[  376.506385] 1835      1834    VBoxClient      107896          0       120     0       1000 
[  376.506385] 1842      1587    ssh-agent       1801    0       120     0       1000 
[  376.506385] 1898      1515    at-spi-bus-laun         76703   0       120     4000000         1000 
[  376.506385] 1903      1898    dbus-broker-lau         2202    0       120     0       1000 
[  376.506385] 1904      1903    dbus-broker     1245    0       120     11000000        1000 
[  376.506385] 1906      1515    at-spi2-registr         39924   0       120     17000000        1000 
[  376.506385] 1916      1587    csd-color       167019          0       120     82000000        1000 
[  376.506385] 1917      1587    csd-print-notif         132981          0       120     52000000        1000 
[  376.506385] 1918      1587    csd-housekeepin         129675          0       120     61000000        1000 
[  376.506385] 1921      1587    csd-screensaver         129562          0       120     57000000        1000 
[  376.506385] 1923      1587    csd-a11y-settin         129669          0       120     50000000        1000 
[  376.506385] 1928      1587    csd-keyboard    129665          0       120     77000000        1000 
[  376.506385] 1931      1587    csd-wacom       129734          0       120     58000000        1000 
[  376.506385] 1935      1587    csd-automount   148179          0       120     44000000        1000 
[  376.506385] 1940      1587    csd-media-keys          184145          0       120     72000000        1000 
[  376.506385] 1941      1587    csd-xsettings   130017          0       120     56000000        1000 
[  376.506385] 1944      1587    csd-background          162738          0       120     267000000       1000 
[  376.506385] 1946      1587    csd-power       204255          0       120     65000000        1000 
[  376.506385] 1948      1587    csd-clipboard   111126          0       120     43000000        1000 
[  376.506385] 1957      1515    gvfs-udisks2-vo         133380          0       120     5000000         1000 
[  376.506385] 1963      1515    dconf-service   38864   0       120     1000000         1000 
[  376.506385] 1979      1515    gvfs-mtp-volume         112058          0       120     4000000         1000 
[  376.506385] 1987      1515    pipewire        69084   -11     109     31000000        1000 
[  376.506385] 1991      1515    wireplumber     117766          -11     109     62000000        1000 
[  376.506385] 1992      1515    pipewire-pulse          60588   -11     109     15000000        1000 
[  376.506385] 1996      1515    gvfs-gphoto2-vo         112526          0       120     4000000         1000 
[  376.506385] 2004      1515    gvfs-afc-volume         131939          0       120     3000000         1000 
[  376.506385] 2007      1       csd-printer     149994          0       120     15000000        1000 
[  376.506385] 2010      1587    cinnamon2d      55735   0       120     0       1000 
[  376.506385] 2011      2010    cinnamon        1342156         0       120     5521000000      1000 
[  376.506385] 2037      1515    gvfs-goa-volume         112071          0       120     2000000         1000 
[  376.506385] 2044      1515    goa-daemon      225890          0       120     27000000        1000 
[  376.506385] 2073      1515    goa-identity-se         132777          0       120     0       1000 
[  376.506385] 2079      1       sssd_kcm        64913   0       120     123000000       0 
[  376.506385] 2091      1587    xapp-sn-watcher         148124          0       120     42000000        1000 
[  376.506385] 2103      1587    blueman-applet          156644          0       120     230000000       1000 
[  376.506385] 2106      1587    dnfdragora-upda         202808          0       120     356000000       1000 
[  376.506385] 2107      1587    agent   112417          0       120     0       1000 
[  376.506385] 2113      1587    tracker-miner-f         211236          19      139     176000000       1000 
[  376.506385] 2119      1587    abrt-applet     130636          0       120     34000000        1000 
[  376.506385] 2120      1587    seapplet        115631          0       120     124000000       1000 
[  376.506385] 2121      1587    polkit-gnome-au         111088          0       120     37000000        1000 
[  376.506385] 2122      1587    gnome-software          691131          0       120     493000000       1000 
[  376.506385] 2127      1587    nemo-desktop    227877          0       120     238000000       1000 
[  376.506385] 2131      1587    evolution-alarm         212908          0       120     93000000        1000 
[  376.506385] 2142      1587    nm-applet       192097          0       120     86000000        1000 
[  376.506385] 2159      1587    cinnamon-killer         132993          0       120     85000000        1000 
[  376.506385] 2196      1       abrt-dbus       116414          0       120     16000000        0 
[  376.506385] 2292      1515    xdg-desktop-por         208919          0       120     14000000        1000 
[  376.506385] 2317      1515    xdg-document-po         187074          0       120     2000000         1000 
[  376.506385] 2324      1515    evolution-sourc         190669          0       120     65000000        1000 
[  376.506385] 2332      1515    xdg-permission-         111979          0       120     2000000         1000 
[  376.506385] 2341      2317    fusermount3     618     0       120     1000000         1000 
[  376.506385] 2354      1668    gvfsd-trash     131615          0       120     5000000         1000 
[  376.506385] 2362      1515    xdg-desktop-por         517864          0       120     103000000       1000 
[  376.506385] 2409      1515    evolution-calen         257846          0       120     19000000        1000 
[  376.506385] 2467      1515    evolution-addre         239355          0       120     15000000        1000 
[  376.506385] 2477      1515    xdg-desktop-por         148311          0       120     63000000        1000 
[  376.506385] 2488      1515    obexd   11589   0       120     7000000         1000 
[  376.506385] 2550      1515    gvfsd-metadata          93672   0       120     1000000         1000 
[  376.506385] 2562      1       fwupd   158669          0       120     712000000       0 
[  376.506385] 2620      2       tls-strp        0       -20     100     0       0 
[  376.506385] 2705      2       kworker/u13:3   0       -20     100     0       0 
[  376.506385] 2706      2       kworker/u13:4   0       -20     100     0       0 
[  376.506385] 2718      2       kworker/u13:5   0       -20     100     0       0 
[  376.506385] 2869      2011    code    9660368         0       120     1947000000      1000 
[  376.506385] 2873      2869    code    8507607         0       120     29000000        1000 
[  376.506385] 2874      2869    code    8507604         0       120     22000000        1000 
[  376.506385] 2876      2874    code    8507604         0       120     0       1000 
[  376.506385] 2889      1       chrome_crashpad         8393855         0       120     0       1000 
[  376.506385] 2904      2873    code    8579049         0       120     129000000       1000 
[  376.506385] 2926      2869    code    8522070         0       120     20000000        1000 
[  376.506385] 2937      2869    code    14355744        0       120     11135000000     1000 
[  376.506385] 2953      2869    code    14359981        0       120     3037000000      1000 
[  376.506385] 2966      2869    code    14351113        0       120     2417000000      1000 
[  376.506385] 3062      2869    code    11729544        0       120     5285000000      1000 
[  376.506385] 3077      2869    code    9555660         0       120     811000000       1000 
[  376.506385] 3078      2869    code    9555660         0       120     1002000000      1000 
[  376.506385] 3085      2869    code    9555660         0       120     3186000000      1000 
[  376.506385] 3125      1       flatpak-system-         270033          0       120     10000000        0 
[  376.506385] 3141      3062    code    9559688         0       120     396000000       1000 
[  376.506385] 3193      1       gpg-agent       56394   0       120     0       0 
[  376.506385] 3198      3193    scdaemon        19608   0       120     2000000         0 
[  376.506385] 3270      728     systemd-userwor         4052    0       120     4000000         0 
[  376.506385] 3298      1       gpg-agent       56394   0       120     0       0 
[  376.506385] 3300      3298    scdaemon        19608   0       120     1000000         0 
[  376.506385] 3352      1       gpg-agent       56394   0       120     2000000         0 
[  376.506385] 3354      3352    scdaemon        19608   0       120     1000000         0 
[  376.506385] 3358      3077    cpptools        370283          0       120     4000000         1000 
[  376.506385] 3391      3062    code    9557605         0       120     128000000       1000 
[  376.506385] 3392      3062    code    9557605         0       120     129000000       1000 
[  376.506385] 3393      3062    code    9553507         0       120     116000000       1000 
[  376.506385] 3430      1       cpptools-srv    134841          0       120     9000000         1000 
[  376.506385] 3441      2       kworker/u12:15          0       0       120     0       0 
[  376.506385] 3442      2       kworker/u12:16          0       0       120     0       0 
[  376.506385] 3445      3085    cpptools        419316          0       120     7000000         1000 
[  376.506385] 3468      3078    cpptools        386548          0       120     5000000         1000 
[  376.506385] 3470      1       cpptools-srv    134841          0       120     10000000        1000 
[  376.506385] 3511      1       cpptools-srv    226795          0       120     6000000         1000 
[  376.506385] 3571      2       kworker/u12:17          0       0       120     0       0 
[  376.506385] 3572      3078    code    9545192         0       120     154000000       1000 
[  376.506385] 3859      3141    bash    56159   0       120     16000000        1000 
[  376.506385] 3861      3141    bash    56159   0       120     15000000        1000 
[  376.506385] 3865      3141    bash    56159   0       120     20000000        1000 
[  376.506385] 4273      728     systemd-userwor         4129    0       120     3000000         0 
[  376.506385] 4444      2       kworker/u12:18          0       0       120     0       0 
[  376.506385] 4466      1       gpg-agent       56394   0       120     0       0 
[  376.506385] 4468      4466    scdaemon        19608   0       120     0       0 
[  376.506385] 4481      1       gpg-agent       56394   0       120     0       0 
[  376.506385] 4483      4481    scdaemon        19608   0       120     2000000         0 
[  376.506385] 4544      1       gpg-agent       56394   0       120     0       0 
[  376.506385] 4547      4544    scdaemon        19608   0       120     0       0 
[  376.506385] 4702      1       gpg-agent       56394   0       120     0       0 
[  376.506385] 4705      4702    scdaemon        19608   0       120     0       0 
[  376.506385] 4850      1       cpptools-srv    1274817         0       120     0       1000 
[  376.506385] 4881      728     systemd-userwor         4052    0       120     2000000         0 
[  376.506385] 4922      2       kworker/u12:19          0       0       120     0       0 
[  376.506385] 4923      2       kworker/u12:20          0       0       120     0       0 
[  376.506385] 4929      1       gpg-agent       56394   0       120     0       0 
[  376.506385] 4931      4929    scdaemon        19608   0       120     0       0 
[  376.506385] 5018      1       cpptools-srv    1274621         0       120     2000000         1000 
[  376.506385] 5061      1       gpg-agent       56394   0       120     1000000         0 
[  376.506385] 5063      5061    scdaemon        19608   0       120     2000000         0 
[  376.506385] 5093      3085    make    2999    0       120     18000000        1000 
[  376.506385] 6137      5093    make    2942    0       120     24000000        1000 
[  376.506385] 6943      2       kworker/0:0     0       0       120     0       0 
[  376.506385] 7261      3859    sudo    59077   0       120     29000000        1000 
[  376.506385] 7263      1       fprintd         127752          0       120     33000000        0 
[  376.506385] 7328      6137    make    3005    0       120     10000000        1000 
[  376.506385] 7332      7328    make    2848    0       120     6000000         1000 
[  376.506385] 7333      7261    insmod          2042    0       120     1000000         0 
